,Price,TV_name,diagonal,hdmi_n,usb_n,Ultra_HD,Full_HD,3D_Tv,volume,pixels,energy_cons,weight
407,349900.0,LG 55SJ950V,140.0,4.0,3.0,1.0,0.0,0.0,40.0,8294400.0,119.0,18.8
408,80590.0,Sharp AQUOS LC-40FG3142E,102.0,3.0,2.0,0.0,1.0,0.0,16.0,2073600.0,,
409,114990.0,Sharp AQUOS LC-48CFG6002E,121.0,3.0,2.0,0.0,1.0,0.0,20.0,2073600.0,96.0,14.6
410,64999.0,Sharp AQUOS LC-32HG5142E,80.0,3.0,2.0,0.0,0.0,0.0,20.0,1049088.0,,5.2
411,140000.0,Samsung UE43M5672,108.0,3.0,2.0,0.0,1.0,0.0,20.0,2073600.0,79.0,10.5
412,50590.0,Hyundai FLR 22TS211 SMART,56.0,,,0.0,1.0,,5.0,2073600.0,,3.3
413,199999.0,Sony Bravia KD-49XF7077,123.0,3.0,3.0,1.0,0.0,0.0,20.0,8294400.0,,12.6
414,2768900.0,LG OLED77C8,195.0,4.0,2.0,1.0,0.0,0.0,40.0,8294400.0,284.0,36.2
415,629900.0,LG 65SK9500PLA,164.0,4.0,3.0,1.0,0.0,0.0,20.0,8294400.0,201.0,28.5
416,423926.0,Samsung UE65NU8052,165.0,4.0,3.0,1.0,0.0,0.0,40.0,8294400.0,,29.0
417,310085.0,Panasonic VIERA TX-50DX700E,126.0,3.0,3.0,1.0,0.0,0.0,20.0,8294400.0,123.0,17.0
418,86190.0,JVC LT-43VF42J,109.0,3.0,2.0,0.0,1.0,0.0,16.0,2073600.0,,9.7
419,106900.0,Sencor SLE 50U02TCS,127.0,3.0,2.0,1.0,0.0,0.0,16.0,8294400.0,,11.6
420,129990.0,Hyundai ULV 55TS292 SMART,140.0,,,1.0,0.0,,20.0,8294400.0,,14.5
421,597900.0,Sony Bravia KD-65XE8505,165.0,4.0,1.0,1.0,0.0,0.0,20.0,8294400.0,,22.1
422,174000.0,LG 55LJ625V,139.0,3.0,2.0,0.0,1.0,0.0,20.0,2073600.0,114.0,18.0
423,69999.0,GABA GLV-4010,101.0,2.0,1.0,0.0,1.0,,20.0,2073600.0,,
424,459900.0,LG 65SJ850V,165.0,4.0,3.0,1.0,0.0,0.0,40.0,8294400.0,207.0,29.0
425,89865.0,Hyundai FLN 40T211 SMART,102.0,2.0,1.0,0.0,1.0,0.0,16.0,2073600.0,,7.8
426,548990.0,Sony Bravia KD-55XE9305,139.0,4.0,1.0,1.0,0.0,0.0,20.0,8294400.0,190.0,32.6
427,54998.0,GABA GLV-3204,81.0,3.0,1.0,0.0,1.0,0.0,10.0,2073600.0,,5.2
428,114900.0,Toshiba 43V5863DG,109.0,3.0,2.0,1.0,0.0,,20.0,8294400.0,,15.0
429,184690.0,Samsung UE49NU7302,123.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,,13.7
430,244900.0,LG 55UH7707,139.0,3.0,3.0,1.0,0.0,0.0,20.0,8294400.0,124.0,18.8
431,489999.0,Samsung QE55Q8CN,139.0,4.0,3.0,1.0,0.0,0.0,40.0,8294400.0,,21.1
432,77989.0,GoGEN TVF 40R25 FE,102.0,2.0,1.0,0.0,1.0,0.0,16.0,2073600.0,,8.5
433,59890.0,Hitachi 32HE2000,81.0,3.0,1.0,0.0,0.0,,12.0,1049088.0,,
434,64990.0,GoGEN TVF 32R15 FE,81.0,2.0,1.0,0.0,1.0,0.0,12.0,2073600.0,,5.6
435,65097.0,LG 32LV340C,81.0,1.0,1.0,0.0,0.0,0.0,10.0,1049088.0,,4.9
436,92999.0,Panasonic VIERA TX-32FS400E,80.0,2.0,2.0,0.0,0.0,0.0,20.0,1049088.0,64.0,6.0
437,90900.0,LG 43LJ5150,108.0,3.0,1.0,0.0,1.0,0.0,20.0,2073600.0,58.0,8.3
438,491910.0,Samsung UE75NU7172,191.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,,37.5
439,169990.0,LG 49UJ6517,123.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,118.0,11.5
440,294990.0,Panasonic VIERA TX-55EX633E,139.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,149.0,18.0
441,131190.0,Hisense H55AE6000,140.0,,,1.0,0.0,,,,,14.3
442,139990.0,JVC LT-55VU63J,140.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,,14.9
443,183900.0,Samsung UE49MU6402,125.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,154.0,16.0
444,52999.0,Thomson 32HC3206,,,,,,,,,,
445,313990.0,LG 65UK6470PLC,164.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,204.0,22.1
446,92105.0,Krüger&Matz KM0248,122.0,3.0,1.0,0.0,1.0,0.0,16.0,2073600.0,,
447,188900.0,Sony Bravia KD-49XE7077S,124.0,3.0,3.0,1.0,0.0,0.0,20.0,8294400.0,121.0,12.1
448,159990.0,Panasonic VIERA TX-43FX600E,108.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,,11.0
449,349900.0,LG 60SJ810V,151.0,4.0,3.0,1.0,0.0,0.0,20.0,8294400.0,137.0,22.3
450,576990.0,LG 75UJ675V,189.0,4.0,2.0,1.0,0.0,0.0,20.0,8294400.0,183.0,44.3
451,163888.0,Samsung UE49K6300,124.0,3.0,2.0,0.0,1.0,0.0,20.0,2073600.0,89.0,13.9
452,65900.0,Vortex LED-V40ZS04DCF,101.0,2.0,,0.0,1.0,0.0,20.0,2073600.0,,
453,269990.0,Samsung UE65NU7172,165.0,4.0,3.0,1.0,0.0,0.0,20.0,8294400.0,,33.7
454,109900.0,LG 49LH510V,123.0,1.0,1.0,0.0,1.0,0.0,10.0,2073600.0,57.0,10.9
455,564990.0,Samsung QE55Q8FAM,138.0,4.0,3.0,1.0,0.0,0.0,40.0,8294400.0,194.0,21.6
456,399900.0,LG 60UH8507,151.0,3.0,3.0,1.0,0.0,1.0,40.0,8294400.0,143.0,25.7
457,478245.0,Skymaster 78SUA2500,195.0,2.0,2.0,1.0,0.0,,20.0,8294400.0,,
458,277990.0,Philips 55PUS7803,140.0,4.0,2.0,1.0,0.0,0.0,20.0,8294400.0,128.0,22.1
459,159900.0,Samsung UE50KU6072,127.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,129.0,13.2
460,326900.0,LG 65UJ701V,165.0,4.0,2.0,1.0,0.0,0.0,20.0,8294400.0,144.0,27.6
461,567899.0,LG 75UK6500PLA,191.0,4.0,2.0,1.0,0.0,0.0,20.0,8294400.0,275.0,35.4
462,36870.0,Sencor SLE 2058TCS,50.0,1.0,1.0,0.0,0.0,0.0,4.0,1049088.0,,2.0
463,89990.0,Orion 43OR17RDSW,109.0,2.0,1.0,0.0,1.0,0.0,,2073600.0,,
464,254990.0,Sony Bravia KD-49XF8096,123.0,4.0,3.0,1.0,0.0,0.0,20.0,8294400.0,118.0,12.9
